game,event,timestamp,confidence,video
bf2,kill_brc,00:11:27:20,0.9710000157356262,2025-06-29 15-30-23
bf2,kill_sgt,00:11:29:05,0.9959999918937683,2025-06-29 15-30-23
bf2,kill_brc,00:12:19:23,0.97079998254776,2025-06-29 15-30-23
bf2,kill_sgt,00:12:20:08,0.9958000183105469,2025-06-29 15-30-23
bf2,scoreboard,00:12:26:22,0.9995999932289124,2025-06-29 15-30-23
bf2,kill_sgt,00:12:37:15,0.991599977016449,2025-06-29 15-30-23
bf2,kill_sgt,00:12:47:26,0.9962000250816345,2025-06-29 15-30-23
bf2,kill_brc,00:13:06:05,0.9724000096321106,2025-06-29 15-30-23
bf2,kill_sgt,00:13:06:22,0.9905999898910522,2025-06-29 15-30-23
bf2,kill_sgt,00:13:09:09,0.9902999997138977,2025-06-29 15-30-23
bf2,kill_brc,00:13:39:28,0.9728999733924866,2025-06-29 15-30-23
bf2,kill_sgt,00:13:40:14,0.9958999752998352,2025-06-29 15-30-23
bf2,death,00:13:57:15,0.9964,2025-06-29 15-30-23
bf2,loadout,00:14:03:00,0.9387,2025-06-29 15-30-23
bf2,defeat,00:14:10:00,0.999,2025-06-29 15-30-23
bf2,podium,00:14:28:00,0.993,2025-06-29 15-30-23
bf2,match_end,00:14:32:00,0.9952,2025-06-29 15-30-23
bf2,loadout,00:14:47:00,0.8729,2025-06-29 15-30-23
bf2,spawn_troop,00:16:11:01,0.9995999932289124,2025-06-29 15-30-23
bf2,sniper,00:16:11:02,0.9997,2025-06-29 15-30-23
bf2,kill_brc,00:17:41:08,0.970300018787384,2025-06-29 15-30-23
bf2,kill_brc,00:17:41:10,0.970300018787384,2025-06-29 15-30-23
bf2,kill_brc,00:17:55:10,0.991100013256073,2025-06-29 15-30-23
bf2,kill_brc,00:17:58:10,0.9758999943733215,2025-06-29 15-30-23
bf2,kill_sgt,00:18:17:13,0.9916999936103821,2025-06-29 15-30-23
bf2,kill_brc,00:18:21:04,0.9879000186920166,2025-06-29 15-30-23
